iter	Passed	Remaining
201	961	3797
202	966	3794
203	971	3790
204	975	3782
205	979	3775
206	983	3768
207	987	3761
208	991	3753
209	996	3746
210	1000	3741
211	1005	3735
212	1009	3728
213	1013	3722
214	1018	3718
215	1022	3712
216	1028	3710
217	1032	3702
218	1036	3696
219	1041	3693
220	1045	3686
221	1049	3678
222	1056	3681
223	1061	3677
224	1065	3671
225	1070	3667
226	1074	3660
227	1078	3652
228	1082	3645
229	1086	3638
230	1091	3632
231	1095	3625
232	1099	3619
233	1103	3612
234	1107	3605
235	1111	3598
236	1115	3591
237	1120	3586
238	1124	3579
239	1128	3573
240	1133	3569
241	1137	3562
242	1141	3556
243	1146	3550
244	1150	3545
245	1154	3539
246	1158	3532
247	1162	3526
248	1167	3520
249	1171	3515
250	1176	3510
251	1180	3504
252	1184	3497
253	1188	3491
254	1193	3485
255	1197	3480
256	1202	3476
257	1207	3472
258	1211	3466
259	1216	3461
260	1220	3454
261	1224	3448
262	1228	3442
263	1232	3435
264	1236	3428
265	1240	3422
266	1244	3415
267	1249	3413
268	1253	3406
269	1258	3401
270	1262	3394
271	1266	3389
272	1270	3384
273	1274	3377
274	1279	3372
275	1283	3366
276	1287	3360
277	1291	3354
278	1300	3359
279	1306	3359
280	1311	3355
281	1315	3349
282	1319	3342
283	1324	3338
284	1328	3332
285	1332	3326
286	1336	3320
287	1341	3317
288	1345	3311
289	1350	3305
290	1354	3299
291	1358	3294
292	1363	3289
293	1367	3283
294	1371	3277
295	1376	3274
296	1381	3269
297	1385	3264
298	1390	3259
299	1394	3253
300	1399	3250
301	1403	3244
302	1407	3238
303	1412	3232
304	1415	3226
305	1420	3221
306	1424	3214
307	1427	3207
308	1432	3204
309	1436	3197
310	1440	3192
311	1444	3185
312	1449	3181
313	1453	3176
314	1458	3171
315	1462	3165
316	1466	3160
317	1470	3154
318	1474	3148
319	1479	3143
320	1483	3138
321	1487	3132
322	1492	3128
323	1496	3122
324	1500	3116
325	1504	3110
326	1509	3106
327	1513	3101
328	1517	3095
329	1521	3089
330	1526	3084
331	1530	3080
332	1534	3074
333	1539	3070
334	1543	3064
335	1550	3064
336	1557	3063
337	1561	3058
338	1566	3054
339	1570	3048
340	1574	3042
341	1578	3036
342	1582	3031
343	1587	3026
344	1591	3021
345	1595	3016
346	1600	3012
347	1606	3009
348	1609	3003
349	1613	2997
350	1619	2994
351	1623	2989
352	1628	2984
353	1631	2978
354	1636	2972
355	1640	2968
356	1645	2963
357	1649	2957
358	1653	2952
359	1657	2946
360	1661	2941
361	1665	2935
362	1669	2929
363	1674	2924
364	1677	2919
365	1682	2913
366	1686	2908
367	1690	2903
368	1694	2897
369	1698	2891
370	1702	2886
371	1706	2881
372	1712	2878
373	1716	2872
374	1720	2866
375	1724	2861
376	1728	2856
377	1733	2852
378	1737	2847
379	1741	2842
380	1746	2836
381	1750	2831
382	1754	2826
383	1758	2821
384	1762	2816
385	1766	2810
386	1770	2805
387	1774	2799
388	1779	2794
389	1783	2789
390	1787	2784
391	1792	2779
392	1799	2779
393	1805	2777
394	1825	2795
395	1846	2816
396	1865	2834
397	1884	2851
398	1899	2860
399	1903	2854
400	1906	2848
401	1911	2842
402	1920	2844
403	1926	2842
404	1932	2839
405	1937	2834
406	1942	2830
407	1947	2825
408	1951	2819
409	1955	2813
410	1959	2807
411	1963	2801
412	1967	2796
413	1971	2790
414	1976	2785
415	1980	2779
416	1984	2774
417	1988	2768
418	1991	2762
419	1996	2756
420	2001	2752
421	2006	2747
422	2010	2742
423	2014	2737
424	2019	2732
425	2023	2726
426	2028	2721
427	2032	2716
428	2036	2710
429	2040	2704
430	2045	2700
431	2053	2700
432	2057	2694
433	2061	2688
434	2065	2682
435	2070	2677
436	2074	2672
437	2078	2666
438	2082	2661
439	2086	2655
440	2090	2650
441	2095	2645
442	2099	2640
443	2103	2634
444	2108	2629
445	2112	2623
446	2116	2618
447	2120	2612
448	2124	2606
449	2128	2601
450	2132	2595
451	2136	2590
452	2141	2586
453	2145	2580
454	2150	2575
455	2154	2569
456	2158	2565
457	2163	2560
458	2167	2555
459	2172	2550
460	2176	2544
461	2180	2539
462	2185	2534
463	2189	2529
464	2193	2524
465	2197	2518
466	2201	2512
467	2205	2507
468	2209	2501
469	2213	2496
470	2218	2491
471	2221	2485
472	2226	2480
473	2230	2475
474	2234	2469
475	2239	2464
476	2243	2459
477	2247	2454
478	2251	2448
479	2256	2444
480	2261	2439
481	2265	2434
482	2270	2430
483	2274	2425
484	2279	2420
485	2283	2415
486	2287	2410
487	2296	2409
488	2301	2405
489	2306	2400
490	2310	2394
491	2314	2389
492	2318	2384
493	2322	2378
494	2326	2373
495	2330	2368
496	2334	2362
497	2338	2357
498	2342	2352
499	2347	2347
500	2351	2341
501	2355	2336
502	2360	2332
503	2364	2326
504	2368	2321
505	2372	2316
506	2377	2312
507	2382	2307
508	2386	2302
509	2391	2297
510	2395	2291
511	2399	2286
512	2403	2281
513	2407	2276
514	2412	2271
515	2416	2266
516	2420	2261
517	2424	2256
518	2428	2250
519	2432	2245
520	2438	2242
521	2443	2237
522	2447	2231
523	2452	2227
524	2457	2223
525	2461	2218
526	2466	2213
527	2470	2208
528	2474	2203
529	2479	2198
530	2483	2193
531	2487	2188
532	2491	2182
533	2496	2178
534	2500	2173
535	2505	2168
536	2509	2163
537	2513	2158
538	2517	2153
539	2521	2148
540	2526	2143
541	2530	2138
542	2536	2134
543	2540	2129
544	2548	2127
545	2554	2123
546	2558	2118
547	2562	2113
548	2566	2108
549	2571	2103
550	2575	2098
551	2580	2094
552	2584	2089
553	2588	2084
554	2593	2079
555	2597	2074
556	2601	2069
557	2606	2064
558	2609	2058
559	2613	2053
560	2618	2048
561	2622	2043
562	2626	2038
563	2629	2033
564	2634	2028
565	2640	2024
566	2644	2019
567	2649	2014
568	2653	2010
569	2657	2004
570	2661	1999
571	2665	1994
572	2670	1989
573	2674	1984
574	2679	1980
575	2683	1975
576	2687	1970
577	2692	1965
578	2697	1961
579	2701	1956
580	2705	1951
581	2709	1945
582	2714	1941
583	2718	1936
584	2723	1931
585	2727	1927
586	2732	1922
587	2736	1917
588	2740	1912
589	2744	1907
590	2748	1902
591	2754	1898
592	2758	1893
593	2763	1889
594	2768	1884
595	2772	1879
596	2776	1874
597	2781	1869
598	2785	1864
599	2790	1860
600	2798	1857
601	2804	1853
602	2807	1848
603	2812	1843
604	2816	1838
605	2820	1833
606	2824	1828
607	2828	1823
608	2833	1818
609	2837	1814
610	2841	1809
611	2845	1804
612	2850	1799
613	2854	1794
614	2859	1790
615	2863	1785
616	2867	1780
617	2871	1775
618	2875	1770
619	2879	1765
620	2884	1760
621	2889	1755
622	2893	1750
623	2898	1746
624	2902	1741
625	2907	1736
626	2912	1732
627	2916	1727
628	2920	1722
629	2925	1717
630	2929	1712
631	2933	1708
632	2937	1703
633	2941	1698
634	2946	1693
635	2950	1688
636	2954	1683
637	2959	1679
638	2964	1674
639	2968	1670
640	2972	1664
641	2976	1660
642	2980	1655
643	2984	1650
644	2989	1645
645	2994	1640
646	2998	1636
647	3003	1631
648	3008	1626
649	3012	1621
650	3016	1617
651	3020	1612
652	3025	1607
653	3029	1602
654	3033	1597
655	3037	1593
656	3042	1588
657	3050	1585
658	3055	1581
659	3059	1576
660	3064	1571
661	3069	1567
662	3073	1562
663	3077	1557
664	3081	1552
665	3086	1547
666	3090	1542
667	3094	1538
668	3099	1533
669	3103	1528
670	3108	1523
671	3112	1519
672	3116	1514
673	3120	1509
674	3125	1504
675	3130	1500
676	3134	1495
677	3138	1490
678	3143	1485
679	3148	1481
680	3153	1476
681	3157	1472
682	3161	1467
683	3165	1462
684	3169	1457
685	3173	1452
686	3177	1447
687	3181	1442
688	3186	1438
689	3190	1433
690	3194	1428
691	3199	1423
692	3203	1419
693	3208	1414
694	3212	1409
695	3216	1404
696	3221	1400
697	3225	1395
698	3229	1390
699	3234	1386
700	3238	1381
701	3243	1376
702	3247	1371
703	3251	1367
704	3256	1362
705	3260	1357
706	3264	1352
707	3268	1347
708	3272	1343
709	3277	1338
710	3282	1334
711	3286	1329
712	3291	1324
713	3300	1321
714	3305	1317
715	3309	1312
716	3314	1308
717	3317	1303
718	3321	1298
719	3325	1293
720	3330	1288
721	3334	1283
722	3338	1279
723	3342	1274
724	3346	1269
725	3350	1264
726	3355	1260
727	3360	1255
728	3364	1250
729	3369	1246
730	3374	1241
731	3379	1237
732	3384	1232
733	3388	1227
734	3392	1223
735	3397	1218
736	3401	1213
737	3405	1209
738	3409	1204
739	3414	1199
740	3419	1195
741	3423	1190
742	3427	1185
743	3431	1180
744	3435	1176
745	3439	1171
746	3443	1166
747	3448	1161
748	3452	1156
749	3455	1151
750	3459	1147
751	3463	1142
752	3468	1137
753	3471	1132
754	3477	1128
755	3481	1123
756	3485	1118
757	3490	1114
758	3494	1109
759	3499	1105
760	3503	1100
761	3507	1095
762	3511	1090
763	3514	1085
764	3519	1081
765	3524	1076
766	3528	1071
767	3532	1067
768	3536	1062
769	3540	1057
770	3544	1052
771	3552	1049
772	3557	1044
773	3561	1039
774	3565	1035
775	3569	1030
776	3573	1025
777	3578	1021
778	3582	1016
779	3586	1011
780	3590	1006
781	3594	1002
782	3599	997
783	3603	992
784	3607	987
785	3611	983
786	3614	978
787	3619	973
788	3623	968
789	3627	964
790	3631	959
791	3635	954
792	3640	950
793	3644	945
794	3648	940
795	3652	936
796	3657	931
797	3660	926
798	3665	922
799	3669	917
800	3674	912
801	3678	908
802	3683	903
803	3687	898
804	3691	894
805	3695	889
806	3699	884
807	3703	879
808	3707	875
809	3711	870
810	3715	865
811	3719	861
812	3723	856
813	3727	851
814	3732	847
815	3737	842
816	3741	838
817	3745	833
818	3749	828
819	3754	824
820	3758	819
821	3762	814
822	3767	810
823	3771	805
824	3776	801
825	3780	796
826	3784	791
827	3789	787
828	3793	782
829	3799	778
830	3807	774
831	3811	769
832	3815	764
833	3819	760
834	3823	755
835	3827	750
836	3832	746
837	3836	741
838	3840	736
839	3844	732
840	3848	727
841	3853	723
842	3857	718
843	3862	714
844	3867	709
845	3871	704
846	3875	700
847	3880	695
848	3884	690
849	3888	686
850	3892	681
851	3897	676
852	3901	672
853	3906	667
854	3910	663
855	3915	658
856	3919	654
857	3924	649
858	3928	644
859	3933	640
860	3937	635
861	3941	631
862	3945	626
863	3950	621
864	3954	617
865	3959	612
866	3963	607
867	3967	603
868	3971	598
869	3976	594
870	3980	589
871	3984	584
872	3989	580
873	3993	575
874	3997	571
875	4002	566
876	4006	561
877	4010	557
878	4014	552
879	4018	548
880	4022	543
881	4027	538
882	4031	534
883	4036	529
884	4040	525
885	4044	520
886	4050	516
887	4056	511
888	4061	507
889	4066	502
890	4070	497
891	4075	493
892	4078	488
893	4082	484
894	4087	479
895	4091	474
896	4095	470
897	4100	465
898	4104	461
899	4108	456
900	4112	451
901	4117	447
902	4121	442
903	4125	438
904	4129	433
905	4134	428
906	4138	424
907	4142	419
908	4147	415
909	4151	410
910	4155	405
911	4159	401
912	4163	396
913	4167	392
914	4172	387
915	4176	382
916	4181	378
917	4185	373
918	4189	369
919	4194	364
920	4198	360
921	4203	355
922	4207	351
923	4212	346
924	4216	341
925	4220	337
926	4224	332
927	4229	328
928	4233	323
929	4237	318
930	4242	314
931	4246	309
932	4251	305
933	4255	300
934	4259	296
935	4263	291
936	4267	286
937	4271	282
938	4277	277
939	4281	273
940	4285	268
941	4290	264
942	4294	259
943	4303	255
944	4308	250
945	4313	246
946	4318	241
947	4323	237
948	4327	232
949	4331	227
950	4335	223
951	4339	218
952	4343	214
953	4348	209
954	4353	205
955	4357	200
956	4361	195
957	4367	191
958	4371	186
959	4375	182
960	4379	177
961	4383	173
962	4387	168
963	4392	164
964	4396	159
965	4400	154
966	4404	150
967	4408	145
968	4412	141
969	4416	136
970	4442	132
971	4461	128
972	4480	124
973	4502	120
974	4509	115
975	4512	110
976	4516	106
977	4521	101
978	4529	97
979	4535	92
980	4541	87
981	4546	83
982	4554	78
983	4559	74
984	4563	69
985	4567	64
986	4571	60
987	4576	55
988	4579	50
989	4583	46
990	4588	41
991	4592	37
992	4596	32
993	4600	27
994	4605	23
995	4609	18
996	4614	13
997	4618	9
998	4622	4
999	4626	0
